name,ratio,alpha,dist_cutoff
D,0.412111468,6,6
E,0.435151911,,
F,0.454427925,,
G,0.673267327,,
H,0.693835616,,
I,0.648456057,,
J,0.751735184,,
K,0.309222423,,
L,0.601362862,,
M,0.54663992,,
N,0.57059315,,
O,0.364334471,,
P,0.092516205,,
Q,0.641423948,,
R,0.591198044,,
S,0.424766977,,
T,0.751495017,,
U,0.371657754,,
V,0.460392157,,
W,0.530349014,,
X,0.798543689,,
Y,0.556532663,,
Z,0.694,,
0,0.729366603,,
1,0.58994709,,
2,0.562650602,,
3,0.748490946,,
4,0.441441441,,
5,0.396487493,,
6,0.774324324,,
7,0.620428752,,
8,0.275096525,,
9,0.13507109,,
a,0.247962747,,
b,0.658730159,,
c,0.230878187,,
d,0.800995025,,
e,0.396907216,,
f,0.637681159,,
g,0.985380117,,
h,0.698027314,,
i,0.748395379,,
