name,ratio,alpha,dist_cutoff
0,0.504504505,6,5
1,0.721271394,,
2,0.474801061,,
3,0.357142857,,
4,0.394039735,,
5,0.781557744,,
6,1,,
C,0.505283381,,
D,0.479233227,,
E,0.649484536,,
F,0.714893617,,
G,0.752834467,,
H,0.791666667,,
I,0.854651163,,
J,0.495128432,,
K,0.537313433,,
L,0.533971292,,
M,0.587523277,,
N,0.364583333,,
O,0.608744395,,
P,0.65648855,,
Q,0.36219641,,
R,0.643382353,,
S,0.56126021,,
T,0.520325203,,
U,0.768934531,,
V,0.72377158,,
W,0.525167785,,
X,0.528,,
Y,0.750491159,,
Z,0.781737194,,
a,0.277777778,,
